name,latitude,longitude,inf_type
Kripke,45.9442249,33.9189882,City/Town
Utkine,45.9522751,33.8909867,City/Town
Voinka,45.8734675,33.9891818,City/Town
Istochne,45.9058746,34.016827,City/Town
Illinka,45.8208023,33.7906471,City/Town
Vorontsivka,45.8446749,33.8034131,City/Town
Kurhanne,45.8561002,33.7168828,City/Town
Traktove,45.796969,33.7507135,City/Town
Ishun,45.9228803,33.8227846,City/Town
Novorybatske,45.9238739,33.7725115,City/Town
Proletarka,45.9831685,33.8413369,City/Town
Tankove,45.9506415,33.8322053,City/Town
Krasnoarmiiske,45.992275,34.0318859,City/Town
Nadezhdyne,46.035472,33.999902,City/Town
Smushkyne,46.0125484,33.9360859,City/Town
Mahazynka,45.8586069,34.0526351,City/Town
Bohachivka,45.8885462,34.1147443,City/Town
Novoivanivka,45.8402133,34.0402285,City/Town
Novooleksandrivka,45.8749515,34.0859457,City/Town
Novopavlivka,45.8625568,33.8947643,City/Town
Dolynka,45.8618486,33.9410837,City/Town
Pryvilne,45.8645634,33.8802199,City/Town
Orlivske,45.8112936,33.9745534,City/Town
Znamianka,45.7778305,34.0010317,City/Town
Novomykolaivka,45.8327059,33.9629577,City/Town
Shatry,45.7923421,33.9988076,City/Town
Pochetne,45.9912677,33.769918,City/Town
Piatykhatka,46.0473691,33.7557296,City/Town
Sovkhozne,45.96135,33.7686444,City/Town
Rysove,46.0274654,33.6925593,City/Town
Tavriiske,45.9791099,33.741338,City/Town
Filativka,46.0827279,33.7838764,City/Town
Karpova Balka,46.0593263,33.8056918,City/Town
Shcholkine,45.4281508,35.8241047,City/Town
Lenine,45.3004643,35.7901969,City/Town
Baherove,45.3746988,36.2971389,City/Town
Ivanivka,45.2884505,36.2853668,City/Town
Ostanine,45.325398,35.9148389,City/Town
Zelenyi Yar,45.3435615,35.9839968,City/Town
Pisochne,45.3610894,35.9384245,City/Town
Batalne,45.1942042,35.6164063,City/Town
Yuzhne,45.1249435,35.6581899,City/Town
Yachminne,45.1994665,35.5348936,City/Town
Bielinske,45.3739506,36.0800172,City/Town
Verkhnozamorske,45.3673523,36.0276749,City/Town
Zolote,45.4265625,36.078338,City/Town
Nyzhnozamorske,45.368698,36.0143849,City/Town
Novovidradne,45.3953613,36.0654325,City/Town
Stantsiine,45.3546531,36.0366014,City/Town
Vynohradne,45.2921472,35.8454042,City/Town
Romanove,45.2922406,35.8748193,City/Town
Voikove,45.3828984,36.4350697,City/Town
Bondarenkove,45.4039145,36.4896409,City/Town
Yehorove,45.3866198,36.4830425,City/Town
Kurortne,45.4751885,36.3450515,City/Town
Hlazivka,45.3883066,36.5782176,City/Town
Osovyny,45.4316083,36.5954456,City/Town
Yurkyne,45.4265833,36.5697194,City/Town
Hornostaivka,45.2766024,36.1843679,City/Town
Zavitne,45.1091119,36.3931296,City/Town
Kostyrine,45.1520173,36.3695114,City/Town
