name,latitude,longitude,inf_type,population
Bazhany,48.4050338,36.1290133,City/Town,
Baznykivka,49.3430859,25.0231548,City/Town,
Bazylivka,51.0056192,33.4825531,City/Town,
Bazylivshchyna,49.4721977,34.8648177,City/Town,
Bdzhilna,48.6149639,29.7453447,City/Town,
Bebekhy,50.2265818,24.9089764,City/Town,
Becheve,49.3675331,34.082195,City/Town,
Bedevlia,48.0044379,23.6611644,City/Town,
Bedrykivtsi,48.689931,25.7735131,City/Town,
Behendiatska Pastil,48.8637773,22.5091053,City/Town,
Beheta,50.8222795,24.5247696,City/Town,
Behma,48.105816,35.4544046,City/Town,
Beieve,50.6512495,33.9912581,City/Town,
Beizymivka,49.9661211,28.1572527,City/Town,
Beizymy,49.9793111,26.9128505,City/Town,
Bekarivka,47.8575628,35.4221541,City/Town,
Beketivka,47.8616407,34.2963809,City/Town,
Bekhtershchyna,49.8053417,33.6134605,City/Town,
Bekhtery,46.2464073,32.2844018,City/Town,
Bekhtery Airfield,46.232,32.292,small_airport,
Bekhy,51.021941,28.6941046,City/Town,
Beleiv,49.1004123,24.0344601,City/Town,
Beleluia,48.4975386,25.4781848,City/Town,
Belz,50.3811106,23.9938802,City/Town,
Bendiuha,50.3790551,24.2569529,City/Town,
Bendiuhivka,49.8931472,30.6444404,City/Town,
Bendzary,47.928596,29.6715864,City/Town,
Bene,48.1648599,22.7607993,City/Town,
Benedivka,49.883831,28.4636703,City/Town,
Benedykivtsi,48.4808022,22.5814171,City/Town,
Beneva,49.3662083,25.3773245,City/Town,
Benkivtsi,49.4408554,24.451232,City/Town,
Benova,49.0459615,22.8907624,City/Town,
Benzyky,51.8040847,33.209586,City/Town,
Berbenytsi,50.4429449,33.0003283,City/Town,
Berdianka,48.6466685,38.7178578,City/Town,
Berdiansk,46.7776643,36.7731531,City/Town,
Berdianske,47.0897741,37.7847694,City/Town,
Berdychi,48.191272,37.6360404,City/Town,
Berdychiv,49.8929565,28.5897513,City/Town,
Berdykhiv,49.8858148,23.5243,City/Town,
Berdynove,47.2954998,30.1741246,City/Town,
Bereh,50.2120352,25.6604813,City/Town,
Bereheli,49.6407108,27.3439247,City/Town,
Berehomet,48.3655649,25.69091,City/Town,
Berehove,49.8038408,23.2992969,City/Town,
Berehuifalu,48.271156,22.7981796,City/Town,
Berehy,50.5057557,25.5496515,City/Town,
Bereka,49.4713312,36.1929739,City/Town,
Beremiany,48.8853394,25.4422072,City/Town,
Beremytske,50.8928396,30.8487487,City/Town,
Beresk,50.8746753,24.8974754,City/Town,
Bereslavka,47.8901818,32.2936682,City/Town,
Beresniahy,49.7930574,31.2093093,City/Town,
Berestechko,50.489962,25.2637669,City/Town,
Berestia,51.5318585,26.5430592,City/Town,
Berestiahy,48.41256,30.005273,City/Town,
Berestiane,50.9642005,25.8882409,City/Town,
Berestianka,50.6905303,30.0012095,City/Town,
Berestianky,49.2305274,36.8686348,City/Town,
Berestiany,49.6093132,23.0976073,City/Town,
Berestivets,48.8715499,30.1934725,City/Town,
Berestivka,49.2276363,28.9591784,City/Town,
Berestky,48.0134125,37.2596591,City/Town,
Berestok,48.4772658,37.6951481,City/Town,
Berestove,49.856824,37.946731,City/Town,
Berestovenka,49.4768064,35.5748491,City/Town,
Berestovets,51.2463071,32.2152006,City/Town,
Bereza,51.8377712,24.4979861,City/Town,
Berezan,46.7416386,31.548739,City/Town,
Berezanka,51.0970521,31.9752377,City/Town,
Berezdiv,50.4597423,27.1213333,City/Town,
Berezdivtsi,49.4569028,24.1504111,City/Town,
Berezenshchyna,50.2049713,30.2984675,City/Town,
Berezets,49.5970307,23.671588,City/Town,
Berezhanka,50.6016779,24.9737734,City/Town,
Berezhany,49.4450296,24.938854,City/Town,17316
Berezhest,51.472034,28.9525991,City/Town,
Berezhivka,50.8069653,32.7545845,City/Town,
Berezhky,51.5259125,26.6091706,City/Town,
Berezhne,51.2478996,33.5697948,City/Town,
Berezhnivka,49.2224171,34.1084341,City/Town,
Berezhnytsia,48.2164707,24.8250258,City/Town,
Berezhok,49.2366358,22.8507069,City/Town,
Berezhonka,48.308315,25.4047022,City/Town,
Berezhtsi,51.1620189,23.8830295,City/Town,
Berezhynka,48.4037504,32.5559291,City/Town,
Berezhyntsi,49.9154595,26.5167427,City/Town,
Berezianka,49.6899854,29.4572664,City/Town,
Bereziv,49.5201938,22.9057897,City/Town,
Bereziv Yar,50.4145077,34.4162859,City/Town,
Berezivka,47.9830762,29.370701,City/Town,
Berezivske,50.0031861,35.9514316,City/Town,
Berezna,49.5810502,29.9073314,City/Town,
Berezna Volia,51.7719212,25.6249655,City/Town,
Berezne,50.095946,27.1702971,City/Town,
Bereznehuvate,47.2449878,32.9966788,City/Town,
Bereznehuvatske,47.7435214,32.2794048,City/Town,
Berezneve,50.8597891,28.4108238,City/Town,
Berezniak,48.7060118,33.7258554,City/Town,
